device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip,ua_browser,ua_browser_version,ua_os,ua_os_version,ua_is_mobile,ua_is_pc,country,city,region,timezone,org,is_compromised_device_id,is_compromised_identity,fraud_label,shares_compromised_ip,shares_compromised_fingerprint,predicted_fraud_label,predicted_fraud_probability
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.160.237'],213.87.160.237,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.152.172'],213.87.152.172,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.145.239'],213.87.145.239,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.135.116', '213.87.155.216']",213.87.155.216,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.135.116', '213.87.155.216']",213.87.135.116,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.132.124'],213.87.132.124,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.144.30'],213.87.144.30,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.148.103'],213.87.148.103,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.160.55', '188.170.82.15']",213.87.160.55,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
cdaa8673-164d-44a7-80a0-99cd4cfe3818,unknown,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,['213.87.131.82'],213.87.131.82,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,0,0,1,1,1,0.9942249934708925
